IdGenre,Genre
0,Documentaries
1,International TV Shows
2,TV Dramas
3,TV Mysteries
4,Crime TV Shows
5,TV Action & Adventure
6,Docuseries
7,Reality TV
8,Romantic TV Shows
9,TV Comedies
10,TV Horror
11,Children & Family Movies
12,Dramas
13,Independent Movies
14,International Movies
15,British TV Shows
16,Comedies
17,Spanish-Language TV Shows
18,Thrillers
19,Romantic Movies
20,Music & Musicals
21,Horror Movies
22,Sci-Fi & Fantasy
23,TV Thrillers
24,Kids' TV
25,Action & Adventure
26,TV Sci-Fi & Fantasy
27,Classic Movies
28,Anime Features
29,Sports Movies
30,Anime Series
31,Korean TV Shows
32,Science & Nature TV
33,Teen TV Shows
34,Cult Movies
35,TV Shows
36,Faith & Spirituality
37,LGBTQ Movies
38,Stand-Up Comedy
39,Movies
40,Stand-Up Comedy & Talk Shows
41,Classic & Cult TV
42,Animation
43,Family
44,Comedy
45,Musical
46,Historical
47,Music
48,Biographical
49,Documentary
50,Action-Adventure
51,Superhero
52,Reality
53,Survival
54,Animals & Nature
55,Kids
56,Coming of Age
57,Drama
58,Fantasy
59,Lifestyle
60,Science Fiction
61,Concert Film
62,Crime
63,Sports
64,Anthology
65,Medical
66,Variety
67,Spy/Espionage
68,Buddy
69,Parody
70,Game Show / Competition
71,Romance
72,Anime
73,Romantic Comedy
74,Thriller
75,Police/Cop
76,Talk Show
77,Western
78,Dance
79,Series
80,Mystery
81,Soap Opera / Melodrama
82,Disaster
83,Travel
84,Stand Up
85,Action
86,Horror
87,Cooking & Food
88,Lifestyle & Culture
89,News
90,History
91,Teen
92,Health & Wellness
93,Black Stories
94,Latino
95,Adventure
96,Late Night
97,Sketch Comedy
98,Classics
99,LGBTQ+
100,Adult Animation
101,Sitcom
102,International
103,Game Shows
104,Cartoons
105,Science & Technology
106,Suspense
107,Special Interest
108,Talk Show and Variety
109,Arts
110,Entertainment
111,and Culture
112,Music Videos and Concerts
113,Fitness
114,Faith and Spirituality
115,Military and War
116,LGBTQ
117,Unscripted
118,Young Adult Audience
119,Arthouse
